LDK,和室,主寝室,子供室1,子供室2,浴室,1F便所,洗面所,ホール,クローゼット,2Fホール,2F便所
[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h],[kJ/h]
8052.32,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
14658.26,0,0,0,0,0,0,0,0,0,0,0
7478.36,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
14156.98,0,0,0,0,0,0,0,0,0,0,0
7702.92,0,0,0,0,0,0,0,0,0,0,0
9115.6,0,0,0,8104.64,0,0,0,0,0,0,0
8727.21,0,0,0,0,0,0,0,0,0,0,0
6028.69,0,0,7161.24,0,0,0,0,0,0,0,0
6211.6,0,0,0,5271.05,0,0,0,0,0,0,0
6256.61,0,0,3781.48,2225.12,0,0,0,0,0,0,0
6304.42,0,0,2200.31,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
19630.26,0,0,0,0,0,0,0,0,0,0,0
7680.39,0,0,0,0,0,0,0,0,0,0,0
6683.78,0,0,0,0,0,0,0,0,0,0,0
5797.41,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
10446.74,0,0,0,0,0,0,0,0,0,0,0
4838.88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
9074.01,0,0,0,0,0,0,0,0,0,0,0
4939.78,0,0,0,0,0,0,0,0,0,0,0
5980.98,0,0,0,5425.04,0,0,0,0,0,0,0
5982.66,0,0,0,0,0,0,0,0,0,0,0
4126.67,0,0,4937.19,0,0,0,0,0,0,0,0
4696.4,0,0,0,3914.05,0,0,0,0,0,0,0
5180.19,0,0,2885.69,1781.95,0,0,0,0,0,0,0
5253.14,0,0,1730.15,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
19029.97,0,0,0,0,0,0,0,0,0,0,0
7831.36,0,0,0,0,0,0,0,0,0,0,0
5952.86,0,0,0,0,0,0,0,0,0,0,0
4841.69,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4038.57,0,0,0,0,0,0,0,0,0,0,0
1323.88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1632.05,0,0,0,0,0,0,0,0,0,0,0
3149.27,0,0,0,0,0,0,0,0,0,0,0
6384.55,0,0,0,3399.93,0,0,0,0,0,0,0
7153.95,0,0,0,0,0,0,0,0,0,0,0
4948.02,0,0,4182.18,0,0,0,0,0,0,0,0
5792.7,0,0,0,4422.37,0,0,0,0,0,0,0
6277.51,0,0,3273.46,2206.4,0,0,0,0,0,0,0
6869.94,0,0,2247.27,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
24341.11,0,0,0,0,0,0,0,0,0,0,0
10397.15,0,0,0,0,0,0,0,0,0,0,0
6137.52,0,0,0,0,0,0,0,0,0,0,0
2097.49,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1330.99,0,0,0,0,0,0,0,0,0,0,0
5970.9,0,0,0,2280.66,0,0,0,0,0,0,0
7020.23,0,0,0,0,0,0,0,0,0,0,0
4850.94,0,0,3560.03,0,0,0,0,0,0,0,0
5630.19,0,0,0,4235.43,0,0,0,0,0,0,0
6217.13,0,0,3131.6,2173.2,0,0,0,0,0,0,0
6594.4,0,0,2124.71,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
24618.71,0,0,8685.27,0,0,0,0,0,0,0,0
8969.58,0,0,3100.31,7997.19,0,0,0,0,0,0,0
3803.65,0,0,1293.21,1591.57,0,0,0,0,0,0,0
3661.44,0,0,1209.04,1310.3,0,0,0,0,0,0,0
4512.08,0,0,0,1329.04,0,0,0,0,0,0,0
3922.13,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
8165.13,0,0,3563.67,0,0,0,0,0,0,0,0
5925.4,0,0,1763.81,0,0,0,0,0,0,0,0
5908.91,0,0,1821.28,0,0,0,0,0,0,0,0
4103.58,0,0,0,0,0,0,0,0,0,0,0
4475.44,0,0,2628.65,4233.03,0,0,0,0,0,0,0
4587.71,0,0,1767.24,1653.79,0,0,0,0,0,0,0
4921.03,0,0,1382.41,1442.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
19545.82,0,0,6944.47,0,0,0,0,0,0,0,0
2598.57,0,0,1194,4773.42,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
272.1,0,0,0,0,0,0,0,0,0,0,0
2108.99,0,0,32.5,750.16,0,0,0,0,0,0,0
2853.5,0,0,872.76,847.67,0,0,0,0,0,0,0
3725.28,0,0,809.6,1021.05,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
20379.55,0,0,0,0,0,0,0,0,0,0,0
8377.91,0,0,0,0,0,0,0,0,0,0,0
6759.84,0,0,0,0,0,0,0,0,0,0,0
5441.43,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
446.97,0,0,0,0,0,0,0,0,0,0,0
775.61,0,0,434.49,0,0,0,0,0,0,0,0
1778.95,0,0,0,1344.31,0,0,0,0,0,0,0
2445.51,0,0,930,711.53,0,0,0,0,0,0,0
2872.75,0,0,706.51,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
17790.38,0,0,0,0,0,0,0,0,0,0,0
7749.24,0,0,0,0,0,0,0,0,0,0,0
4317.61,0,0,0,0,0,0,0,0,0,0,0
578.31,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
